Impedance match data for olivine,,,,,,,,,,,,,,,,,,,,
Study,Platform,Sample #,Experiment,Flyer,Flyer Velocity,Flyer Vel err,IM Standard,IM Standard Us,Standard Us err,Sample Us,Us err,Sample Up,Up err,Sample P,Sample P err,Density,rho err,Sample T,T err,Used in Us-up fit? (Y/N)
This Study,DFTMD,7,Calculation,,,,,,,25.967,0.027,15.673,0.016,1376.2,2.8,8.5,,54970,180.9,N
This Study,DFTMD,8,Calculation,,,,,,,28.956,0.021,18.114,0.013,1772.6,2.6,9,,73007,165.2,N
This Study,"Omega EP, eta 1.67",30744,Decaying shock,,,,,24.15,0.29,23.84,0.26,14.03,0.28,1120,23,8.14,0.28,,,N
This Study,"Omega EP, eta 1.67",30747,Decaying shock,,,,,26.91,0.14,26.43,0.18,16.11,0.14,1426,15,8.58,0.17,,,N
This Study,"Omega EP, eta 1.67",30750,Decaying shock,,,,,16.6,0.1,16.68,0.09,8.63,0.09,482,5,6.94,0.1,,,N
This Study,"Omega EP, eta 1.67",30753,Decaying shock,,,,,15.59,0.09,15.85,0.09,7.94,0.08,422,5,6.71,0.08,,,N
This Study,"Omega EP, eta 1.67",31844,Decaying shock,,,,,24.86,0.12,24.72,0.11,14.52,0.12,1202,11,8.12,0.12,,,N
This Study,"Omega EP, eta 1.67",31849,Decaying shock,,,,,20.83,0.1,20.81,0.09,11.56,0.1,806,7,7.54,0.1,,,N
This Study,"Omega EP, eta 1.67",31854,Decaying shock,,,,,18.86,0.11,19.03,0.09,10.14,0.1,647,7,7.17,0.1,,,N
This Study,"Omega EP, eta 1.67",31859,Decaying shock,,,,,21.67,0.12,21.58,0.1,12.18,0.11,880,9,7.69,0.11,,,N
,,,,,,,,,,,,,,,,,,,,
"† Quartz and olivine Us-up were calculated using known equations of state. For this reason, these data are not used in the Us-up fit.",,,,,,,,,,,,,,,,,,,,
